002  00494 |Loss: 0.130 | Acc: 96.375% 
002  00495 |Loss: 0.130 | Acc: 96.334% 
002  00496 |Loss: 0.131 | Acc: 96.267% 
002  00497 |Loss: 0.130 | Acc: 96.317% 
002  00498 |Loss: 0.134 | Acc: 96.175% 
002  00499 |Loss: 0.138 | Acc: 96.016% 
002  00500 |Loss: 0.137 | Acc: 96.043% 
002  00501 |Loss: 0.139 | Acc: 95.996% 
002  00502 |Loss: 0.139 | Acc: 95.975% 
002  00503 |Loss: 0.138 | Acc: 96.002% 
002  00504 |Loss: 0.140 | Acc: 95.960% 
002  00505 |Loss: 0.140 | Acc: 95.898% 
002  00506 |Loss: 0.139 | Acc: 95.946% 
002  00507 |Loss: 0.138 | Acc: 95.970% 
002  00508 |Loss: 0.137 | Acc: 95.994% 
002  00509 |Loss: 0.136 | Acc: 96.035% 
002  00510 |Loss: 0.135 | Acc: 96.056% 
002  00511 |Loss: 0.135 | Acc: 96.057% 
002  00512 |Loss: 0.136 | Acc: 96.021% 
002  00513 |Loss: 0.135 | Acc: 96.058% 
002  00514 |Loss: 0.135 | Acc: 96.059% 
002  00515 |Loss: 0.134 | Acc: 96.043% 
002  00516 |Loss: 0.134 | Acc: 96.027% 
002  00517 |Loss: 0.135 | Acc: 96.012% 
002  00518 |Loss: 0.135 | Acc: 96.014% 
